Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",603,3,10 uF,
C4,603,1,0.1 uF,
"D1, D2, D3",805,3,LED,
"H1, H2, H3, H4",MountingHole_2mm,4,MountingHole,
J1,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
J2,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,JST Battery,
J3,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,1,Speaker Output Pins,
J4,MOLEX_1050170001,1,1050170001,
MCP1,MSOP-10_3x3mm_P0.5mm,1,~,C627668 
"PG_LED1, RT2, Stat1_LED1, Stat2_LED1",603,4,1K,
"R1, R2",603,2,2K,
R3,805,1,1M,
RT1,603,1,150K,
U1,RPi_PicoW_SMD_TH,1,PicoW,
U3,QFN50P300X300X80-17N,1,MAX98357AETE_T,C910544
"Vol_down1, Vol_up1",SW_PUSH_6mm_H8mm,2,SW_SPST,
