Designator,Mid X,Mid Y,Rotation,Layer
C1,40.0688,66.294,180.0,top
C2,53.7848,66.8528,0.0,top
C3,49.7078,25.908,180.0,top
C4,55.5498,25.908,0.0,top
D1,26.8732,68.9864,90.0,top
D2,18.4912,68.9864,90.0,top
D3,22.7584,68.961,90.0,top
J1,13.335,44.7548,0.0,top
J2,55.8082,48.3308,90.0,top
J3,56.5404,9.0678,0.0,top
J4,40.0838,72.768,180.0,top
MCP1,48.6664,63.9572,0.0,top
PG_LED1,27.0764,65.0748,270.0,top
R1,58.6105,61.6712,0.0,top
R2,54.0004,61.1256,270.0,top
R3,49.7078,28.956,180.0,top
RT1,58.5089,63.9318,0.0,top
RT2,54.6735,63.9318,0.0,top
Stat1_LED1,22.8346,65.0494,270.0,top
Stat2_LED1,18.4912,65.0372,270.0,top
U1,32.4866,32.0802,0.0,top
U3,53.8608,19.316,0.0,top
Vol_down1,6.1734,18.3028,0.0,top
Vol_up1,5.6146,58.6126,0.0,top
